Date,Open,High,Low,Close,Volume
2022-04-11 09:15:00,385.3,385.8,384.85,385.35,37158
2022-04-11 09:16:00,385.4,385.95,385.1,385.9,65665
2022-04-11 09:17:00,386.15,386.2,385.75,385.95,80855
2022-04-11 09:18:00,386.0,387.9,386.0,387.9,125844
2022-04-11 09:19:00,387.5,388.1,387.4,388.1,158541
2022-04-11 09:20:00,388.0,389.4,388.0,389.4,215000
2022-04-11 09:21:00,389.4,390.0,389.1,389.3,301250
2022-04-11 09:22:00,389.35,389.35,388.15,388.15,344023
2022-04-11 09:23:00,388.0,388.1,387.6,388.1,360874
2022-04-11 09:24:00,387.9,387.95,387.7,387.85,371871
2022-04-11 09:25:00,387.7,387.8,387.15,387.65,395198
2022-04-11 09:26:00,387.7,387.8,387.6,387.65,407728
2022-04-11 09:27:00,387.7,387.9,387.65,387.9,415439
2022-04-11 09:28:00,387.9,388.05,387.8,387.9,435605
2022-04-11 09:29:00,387.9,387.9,387.0,387.1,453088
2022-04-11 09:30:00,387.0,387.05,386.8,387.05,467412
2022-04-11 09:31:00,387.05,387.5,387.05,387.5,472174
2022-04-11 09:32:00,387.55,387.8,387.15,387.15,483000
2022-04-11 09:33:00,387.3,387.45,387.15,387.3,485164
2022-04-11 09:34:00,387.4,387.45,387.3,387.4,489665
2022-04-11 09:35:00,387.4,387.4,387.0,387.05,498880
2022-04-11 09:36:00,387.0,387.15,387.0,387.05,503342
2022-04-11 09:37:00,387.05,387.3,386.85,386.85,519851
2022-04-11 09:38:00,387.1,387.65,386.85,387.65,533257
2022-04-11 09:39:00,387.5,387.8,387.5,387.7,542318
2022-04-11 09:40:00,387.8,387.8,387.1,387.2,551962
2022-04-11 09:41:00,387.15,387.3,387.1,387.1,557734
2022-04-11 09:42:00,386.85,387.5,386.85,387.5,566432
2022-04-11 09:43:00,387.45,387.7,387.45,387.7,572084
2022-04-11 09:44:00,387.7,387.75,387.6,387.75,580953
2022-04-11 09:45:00,387.7,387.8,387.25,387.25,596358
2022-04-11 09:46:00,387.15,387.35,387.05,387.1,598781
2022-04-11 09:47:00,387.3,387.4,387.15,387.4,604051
2022-04-11 09:48:00,387.2,387.25,386.85,386.9,616917
2022-04-11 09:49:00,386.9,387.1,386.85,386.95,621312
2022-04-11 09:50:00,386.95,387.4,386.9,387.2,630216
2022-04-11 09:51:00,387.1,387.25,387.0,387.1,632643
2022-04-11 09:52:00,387.0,387.25,387.0,387.15,634913
2022-04-11 09:53:00,387.2,387.2,387.0,387.1,637151
2022-04-11 09:54:00,387.1,387.1,386.75,386.75,645867
2022-04-11 09:55:00,386.85,386.9,386.7,386.9,658528
2022-04-11 09:56:00,387.05,387.1,386.85,386.9,661900
2022-04-11 09:57:00,386.9,387.15,386.9,387.15,668393
2022-04-11 09:58:00,387.05,387.4,387.05,387.35,681206
2022-04-11 09:59:00,387.2,387.4,387.2,387.3,690097
2022-04-11 10:00:00,387.35,387.55,387.3,387.3,696578
2022-04-11 10:01:00,387.5,387.55,387.35,387.35,700774
2022-04-11 10:02:00,387.35,387.6,387.15,387.15,707823
2022-04-11 10:03:00,387.1,387.25,386.8,386.95,714942
2022-04-11 10:04:00,387.0,387.3,386.95,387.2,716957
2022-04-11 10:05:00,387.2,387.45,387.15,387.45,719431
2022-04-11 10:06:00,387.45,387.45,387.3,387.35,722807
2022-04-11 10:07:00,387.35,387.75,387.3,387.3,738654
