Date,Open,High,Low,Close,Volume
2022-04-11 09:15:00,268.9,268.9,267.6,267.9,972733
2022-04-11 09:16:00,268.0,269.4,267.9,269.2,1576019
2022-04-11 09:17:00,269.05,269.2,267.85,268.1,2068255
2022-04-11 09:18:00,268.05,268.05,266.8,266.95,2411302
2022-04-11 09:19:00,267.0,267.05,266.15,266.5,2854760
2022-04-11 09:20:00,266.65,267.75,266.4,267.05,3145700
2022-04-11 09:21:00,267.1,267.45,266.65,266.7,3338504
2022-04-11 09:22:00,266.8,267.45,266.7,267.4,3590351
2022-04-11 09:23:00,267.35,267.35,266.8,267.0,3714703
2022-04-11 09:24:00,266.95,267.15,266.7,266.7,3849396
2022-04-11 09:25:00,266.8,269.85,266.6,269.85,5626335
2022-04-11 09:26:00,269.9,270.25,269.3,269.45,6507020
2022-04-11 09:27:00,269.35,270.0,269.2,270.0,6780251
2022-04-11 09:28:00,269.95,270.1,268.55,268.6,7188934
2022-04-11 09:29:00,268.65,268.8,267.6,268.65,7461155
2022-04-11 09:30:00,268.75,268.85,268.15,268.5,7587272
2022-04-11 09:31:00,268.45,268.5,268.1,268.3,7705568
2022-04-11 09:32:00,268.25,268.3,267.75,267.75,7937658
2022-04-11 09:33:00,267.8,268.1,267.35,268.0,8105957
2022-04-11 09:34:00,267.95,268.0,267.7,267.7,8221078
2022-04-11 09:35:00,267.6,267.8,267.6,267.8,8314218
2022-04-11 09:36:00,267.8,268.45,267.7,268.4,8474493
2022-04-11 09:37:00,268.45,268.6,268.3,268.3,8586441
2022-04-11 09:38:00,268.3,268.4,267.8,267.85,8681506
2022-04-11 09:39:00,267.9,267.95,267.6,267.8,8781562
2022-04-11 09:40:00,267.8,267.8,267.05,267.25,8910656
2022-04-11 09:41:00,267.05,267.25,267.05,267.1,8967723
2022-04-11 09:42:00,267.1,267.55,267.1,267.45,9054013
2022-04-11 09:43:00,267.45,267.45,267.15,267.35,9099667
2022-04-11 09:44:00,267.25,267.35,267.15,267.3,9165886
2022-04-11 09:45:00,267.25,267.5,267.1,267.4,9252433
2022-04-11 09:46:00,267.45,268.1,267.35,268.1,9337486
2022-04-11 09:47:00,268.1,268.45,268.1,268.35,9425932
2022-04-11 09:48:00,268.4,268.4,268.05,268.25,9502169
2022-04-11 09:49:00,268.25,268.3,268.1,268.3,9543465
2022-04-11 09:50:00,268.3,268.7,268.25,268.6,9683559
2022-04-11 09:51:00,268.5,268.65,268.4,268.45,9729402
2022-04-11 09:52:00,268.45,268.6,268.3,268.55,9792806
2022-04-11 09:53:00,268.55,268.65,268.5,268.65,9832167
2022-04-11 09:54:00,268.55,268.6,268.1,268.15,9912265
2022-04-11 09:55:00,268.1,268.3,268.0,268.25,9977931
2022-04-11 09:56:00,268.25,268.25,268.1,268.2,10006872
2022-04-11 09:57:00,268.15,268.35,268.15,268.15,10059520
2022-04-11 09:58:00,268.25,268.35,268.0,268.3,10130612
2022-04-11 09:59:00,268.35,268.45,268.3,268.4,10172653
2022-04-11 10:00:00,268.35,268.45,268.15,268.35,10226924
2022-04-11 10:01:00,268.35,268.35,268.2,268.35,10249109
2022-04-11 10:02:00,268.35,268.35,267.85,267.9,10353225
2022-04-11 10:03:00,267.9,268.05,267.8,268.0,10407701
2022-04-11 10:04:00,268.0,268.15,267.95,268.0,10491956
2022-04-11 10:05:00,268.0,268.15,267.9,268.05,10564969
2022-04-11 10:06:00,268.15,268.15,268.05,268.1,10584674
2022-04-11 10:07:00,268.15,268.35,268.1,268.35,10629797
2022-04-11 10:08:00,268.35,268.5,268.25,268.45,10728960
2022-04-11 10:09:00,268.45,268.45,268.3,268.35,10757640
2022-04-11 10:10:00,268.35,268.85,268.35,268.65,10888631
2022-04-11 10:11:00,268.7,268.8,268.55,268.6,10999705
2022-04-11 10:12:00,268.6,268.6,268.5,268.6,11028055
2022-04-11 10:13:00,268.6,268.65,268.5,268.65,11077306
2022-04-11 10:14:00,268.65,268.65,268.35,268.6,11122190
2022-04-11 10:15:00,268.6,268.6,268.3,268.3,11167550
2022-04-11 10:16:00,268.3,268.3,268.0,268.0,11240907
