Date,Open,High,Low,Close,Volume
2022-04-11 09:15:00,8.35,8.35,8.3,8.35,1478128
2022-04-11 09:16:00,8.3,8.4,8.3,8.35,2232392
2022-04-11 09:17:00,8.4,8.4,8.35,8.4,2553027
2022-04-11 09:18:00,8.4,8.4,8.35,8.35,2797401
2022-04-11 09:19:00,8.35,8.4,8.35,8.35,3716140
2022-04-11 09:20:00,8.35,8.35,8.3,8.35,3999511
2022-04-11 09:21:00,8.3,8.35,8.3,8.3,4098885
2022-04-11 09:22:00,8.35,8.35,8.35,8.35,4206966
2022-04-11 09:23:00,8.3,8.3,8.25,8.25,5709473
2022-04-11 09:24:00,8.3,8.3,8.25,8.3,5881875
2022-04-11 09:25:00,8.3,8.3,8.2,8.2,6937784
2022-04-11 09:26:00,8.25,8.3,8.2,8.25,9123870
2022-04-11 09:27:00,8.3,8.3,8.25,8.3,9344424
2022-04-11 09:28:00,8.3,8.3,8.25,8.25,9583515
2022-04-11 09:29:00,8.3,8.3,8.2,8.3,10477207
2022-04-11 09:30:00,8.25,8.3,8.25,8.25,10551662
2022-04-11 09:31:00,8.25,8.35,8.25,8.35,11492318
2022-04-11 09:32:00,8.3,8.35,8.3,8.35,11710477
2022-04-11 09:33:00,8.3,8.35,8.3,8.35,11997194
2022-04-11 09:34:00,8.35,8.4,8.35,8.4,13380505
2022-04-11 09:35:00,8.4,8.4,8.35,8.4,14718976
2022-04-11 09:36:00,8.35,8.4,8.35,8.35,14875014
2022-04-11 09:37:00,8.4,8.4,8.35,8.4,14986486
2022-04-11 09:38:00,8.35,8.4,8.35,8.4,15067842
2022-04-11 09:39:00,8.4,8.4,8.4,8.4,15112779
2022-04-11 09:40:00,8.4,8.4,8.35,8.35,15240223
2022-04-11 09:41:00,8.35,8.4,8.3,8.35,15670595
2022-04-11 09:42:00,8.35,8.35,8.3,8.3,15726864
2022-04-11 09:43:00,8.35,8.35,8.3,8.35,15902164
2022-04-11 09:44:00,8.35,8.35,8.3,8.35,15976121
2022-04-11 09:45:00,8.3,8.35,8.3,8.35,16192722
2022-04-11 09:46:00,8.35,8.35,8.3,8.3,16249205
2022-04-11 09:47:00,8.35,8.35,8.3,8.3,16655886
2022-04-11 09:48:00,8.3,8.35,8.3,8.3,16715745
2022-04-11 09:49:00,8.35,8.35,8.3,8.3,16806287
2022-04-11 09:50:00,8.35,8.4,8.3,8.4,17894000
2022-04-11 09:51:00,8.4,8.4,8.3,8.35,18202871
2022-04-11 09:52:00,8.3,8.35,8.3,8.3,18323445
2022-04-11 09:53:00,8.35,8.35,8.3,8.35,18418491
2022-04-11 09:54:00,8.35,8.35,8.3,8.35,18539184
2022-04-11 09:55:00,8.35,8.35,8.3,8.35,18606541
2022-04-11 09:56:00,8.35,8.35,8.35,8.35,18716875
2022-04-11 09:57:00,8.35,8.35,8.3,8.35,18801359
2022-04-11 09:58:00,8.35,8.35,8.3,8.3,18838928
2022-04-11 09:59:00,8.3,8.35,8.3,8.3,18875241
2022-04-11 10:00:00,8.35,8.35,8.3,8.35,18939719
2022-04-11 10:01:00,8.3,8.35,8.3,8.35,18968640
2022-04-11 10:02:00,8.35,8.35,8.3,8.35,19021289
2022-04-11 10:03:00,8.3,8.35,8.3,8.3,20121607
2022-04-11 10:04:00,8.25,8.3,8.25,8.25,20204298
2022-04-11 10:05:00,8.3,8.3,8.25,8.3,20296410
2022-04-11 10:06:00,8.3,8.3,8.25,8.3,20348476
2022-04-11 10:07:00,8.3,8.35,8.25,8.35,20931803
2022-04-11 10:08:00,8.35,8.35,8.3,8.35,21240163
2022-04-11 10:09:00,8.35,8.35,8.3,8.3,21311328
2022-04-11 10:10:00,8.3,8.35,8.3,8.3,21345082
2022-04-11 10:11:00,8.35,8.35,8.3,8.35,21425996
2022-04-11 10:12:00,8.35,8.35,8.3,8.35,21615463
2022-04-11 10:13:00,8.35,8.35,8.3,8.35,21770579
2022-04-11 10:14:00,8.35,8.35,8.3,8.35,21812146
2022-04-11 10:15:00,8.35,8.35,8.3,8.35,21857754
2022-04-11 10:16:00,8.35,8.35,8.3,8.35,21896681
2022-04-11 10:17:00,8.35,8.35,8.3,8.3,21951478
2022-04-11 10:18:00,8.35,8.35,8.3,8.35,22034900
