Date,Open,High,Low,Close,Volume
2022-04-11 09:15:00,756.05,758.85,756.05,757.05,63414
2022-04-11 09:16:00,757.5,760.95,757.1,760.95,107279
2022-04-11 09:17:00,760.85,763.0,760.85,762.9,154459
2022-04-11 09:18:00,763.0,763.35,762.5,763.15,189311
2022-04-11 09:19:00,763.45,765.35,762.95,765.05,241621
2022-04-11 09:20:00,765.3,766.0,764.7,765.55,294183
2022-04-11 09:21:00,765.55,766.0,764.4,765.0,385188
2022-04-11 09:22:00,765.25,765.8,764.8,765.45,516328
2022-04-11 09:23:00,765.85,767.65,764.5,767.65,613265
2022-04-11 09:24:00,768.0,770.55,767.55,770.0,868842
2022-04-11 09:25:00,770.35,770.45,769.35,770.15,1054941
2022-04-11 09:26:00,770.0,770.4,769.4,770.35,1162102
2022-04-11 09:27:00,770.4,772.0,770.0,772.0,1233205
2022-04-11 09:28:00,771.6,773.2,771.5,772.85,1328292
2022-04-11 09:29:00,773.1,774.95,772.55,774.6,1430234
2022-04-11 09:30:00,774.4,774.4,771.35,773.65,1549035
2022-04-11 09:31:00,773.5,773.85,772.1,772.8,1600451
2022-04-11 09:32:00,772.55,773.05,772.15,772.45,1649132
2022-04-11 09:33:00,772.1,772.45,770.1,770.55,1715679
2022-04-11 09:34:00,770.2,771.25,770.0,770.9,1792570
2022-04-11 09:35:00,770.9,770.9,768.75,769.3,1890612
2022-04-11 09:36:00,769.5,770.0,769.3,770.0,1913210
2022-04-11 09:37:00,769.95,770.0,768.25,768.5,1953899
2022-04-11 09:38:00,768.2,769.0,767.8,767.8,2011222
2022-04-11 09:39:00,767.2,767.2,765.35,765.75,2091397
2022-04-11 09:40:00,765.5,767.95,765.0,767.6,2184891
2022-04-11 09:41:00,767.7,772.0,767.6,770.9,2270319
2022-04-11 09:42:00,770.2,770.45,768.45,769.7,2304665
2022-04-11 09:43:00,769.3,770.4,769.3,769.8,2326688
2022-04-11 09:44:00,770.0,770.4,769.6,769.8,2337479
2022-04-11 09:45:00,769.45,769.45,766.95,768.3,2379474
2022-04-11 09:46:00,768.1,769.0,768.1,768.15,2395085
2022-04-11 09:47:00,768.2,768.8,767.65,768.1,2409799
2022-04-11 09:48:00,768.3,768.65,767.55,767.55,2420082
2022-04-11 09:49:00,767.65,768.4,767.0,767.8,2439336
2022-04-11 09:50:00,767.6,768.15,767.0,767.1,2452608
2022-04-11 09:51:00,767.05,768.15,767.0,768.15,2463214
2022-04-11 09:52:00,768.15,768.5,767.5,767.5,2483820
2022-04-11 09:53:00,767.5,768.5,767.4,767.95,2491568
