Date,Open,High,Low,Close,Volume
2022-04-11 09:15:00,152.4,153.4,152.3,153.25,180651
2022-04-11 09:16:00,153.3,153.3,153.0,153.15,227047
2022-04-11 09:17:00,153.2,153.65,153.15,153.5,313208
2022-04-11 09:18:00,153.5,153.75,153.35,153.5,423373
2022-04-11 09:19:00,153.55,153.7,153.3,153.65,539049
2022-04-11 09:20:00,153.65,153.85,153.5,153.8,598564
2022-04-11 09:21:00,153.8,154.0,153.8,154.0,662924
2022-04-11 09:22:00,153.95,153.95,153.8,153.85,771064
2022-04-11 09:23:00,154.0,154.0,153.85,153.9,846027
2022-04-11 09:24:00,153.85,154.25,153.85,154.25,966096
2022-04-11 09:25:00,154.25,154.25,153.9,153.9,1059419
2022-04-11 09:26:00,153.85,153.95,153.65,153.65,1106922
2022-04-11 09:27:00,153.6,154.0,153.6,153.85,1158983
2022-04-11 09:28:00,153.95,153.95,153.75,153.75,1788110
2022-04-11 09:29:00,153.8,153.8,153.55,153.75,1842509
2022-04-11 09:30:00,153.6,154.05,153.6,154.05,2135955
2022-04-11 09:31:00,154.1,154.5,154.1,154.45,2266192
2022-04-11 09:32:00,154.4,154.4,154.0,154.0,2322318
2022-04-11 09:33:00,154.0,154.2,153.95,153.95,2388477
2022-04-11 09:34:00,153.9,153.95,153.85,153.9,2402302
2022-04-11 09:35:00,153.85,153.85,153.65,153.65,2436165
2022-04-11 09:36:00,153.65,153.7,153.5,153.5,2463231
2022-04-11 09:37:00,153.55,153.6,153.5,153.6,2485921
2022-04-11 09:38:00,153.6,153.6,153.3,153.3,2543121
2022-04-11 09:39:00,153.3,153.45,153.3,153.35,2578845
2022-04-11 09:40:00,153.45,153.45,153.2,153.25,2610159
2022-04-11 09:41:00,153.3,153.3,153.15,153.15,2633917
2022-04-11 09:42:00,153.15,153.2,153.1,153.15,2659435
2022-04-11 09:43:00,153.2,153.25,153.15,153.25,2671184
2022-04-11 09:44:00,153.2,153.25,153.1,153.1,2694158
2022-04-11 09:45:00,153.2,153.2,153.1,153.15,2715283
2022-04-11 09:46:00,153.1,153.15,153.0,153.05,2736795
2022-04-11 09:47:00,153.1,153.2,153.05,153.15,2757091
2022-04-11 09:48:00,153.05,153.1,153.0,153.05,2786317
2022-04-11 09:49:00,153.0,153.05,152.95,152.95,2854318
2022-04-11 09:50:00,152.9,153.3,152.9,153.3,2905562
2022-04-11 09:51:00,153.3,153.3,153.15,153.25,2934059
2022-04-11 09:52:00,153.2,153.35,153.2,153.35,2942682
2022-04-11 09:53:00,153.35,153.35,153.2,153.25,2977471
2022-04-11 09:54:00,153.1,153.15,153.0,153.15,3034539
2022-04-11 09:55:00,153.1,153.15,153.05,153.15,3051778
2022-04-11 09:56:00,153.15,153.25,153.15,153.2,3072052
2022-04-11 09:57:00,153.1,153.2,153.1,153.1,3084045
2022-04-11 09:58:00,153.15,153.45,153.15,153.45,3127565
2022-04-11 09:59:00,153.45,153.5,153.4,153.45,3138579
2022-04-11 10:00:00,153.45,153.45,153.3,153.4,3161474
2022-04-11 10:01:00,153.3,153.4,153.3,153.35,3167300
2022-04-11 10:02:00,153.35,153.35,153.15,153.15,3190347
2022-04-11 10:03:00,153.15,153.2,153.05,153.2,3210244
2022-04-11 10:04:00,153.2,153.2,153.1,153.15,3219855
2022-04-11 10:05:00,153.2,153.2,153.15,153.2,3240707
2022-04-11 10:06:00,153.2,153.3,153.15,153.25,3256079
2022-04-11 10:07:00,153.25,153.25,153.15,153.15,3286557
2022-04-11 10:08:00,153.1,153.25,153.1,153.15,3317692
2022-04-11 10:09:00,153.15,153.2,153.1,153.1,3349547
2022-04-11 10:10:00,153.15,153.15,152.9,152.9,3380047
2022-04-11 10:11:00,152.95,152.95,152.85,152.95,3418790
2022-04-11 10:12:00,152.9,152.95,152.85,152.9,3426684
2022-04-11 10:13:00,152.85,152.9,152.75,152.85,3449001
2022-04-11 10:14:00,152.8,153.0,152.8,153.0,3468143
2022-04-11 10:15:00,153.0,153.0,152.9,152.9,3485954
2022-04-11 10:16:00,153.0,153.0,152.9,152.95,3491032
2022-04-11 10:17:00,153.0,153.0,152.9,152.95,3503477
2022-04-11 10:18:00,153.0,153.2,153.0,153.15,3525337
2022-04-11 10:19:00,153.2,153.25,153.15,153.15,3530467
2022-04-11 10:20:00,153.25,153.25,153.15,153.2,3537040
2022-04-11 10:21:00,153.2,153.2,153.15,153.2,3543075
2022-04-11 10:22:00,153.25,153.25,153.15,153.2,3553577
2022-04-11 10:23:00,153.2,153.25,153.15,153.2,3567302
2022-04-11 10:24:00,153.4,153.4,153.3,153.35,3607706
2022-04-11 10:25:00,153.4,153.4,153.3,153.35,3620582
2022-04-11 10:26:00,153.35,153.45,153.35,153.4,3642213
2022-04-11 10:27:00,153.4,153.45,153.3,153.3,3660510
2022-04-11 10:28:00,153.3,153.35,153.25,153.35,3666383
2022-04-11 10:29:00,153.35,153.4,153.3,153.35,3686364
2022-04-11 10:30:00,153.35,153.45,153.35,153.35,3744980
2022-04-11 10:31:00,153.35,153.35,153.1,153.1,3774794
2022-04-11 10:32:00,153.1,153.1,152.95,153.0,3793641
2022-04-11 10:33:00,153.0,153.0,152.95,152.95,3806512
2022-04-11 10:34:00,152.9,153.0,152.9,152.9,3812186
2022-04-11 10:35:00,152.95,152.95,152.8,152.8,3829074
2022-04-11 10:36:00,152.85,152.95,152.8,152.85,3845551
2022-04-11 10:37:00,153.0,153.2,153.0,153.15,3867804
2022-04-11 10:38:00,153.2,153.2,153.1,153.15,3874989
2022-04-11 10:39:00,153.15,153.2,153.1,153.2,3895136
2022-04-11 10:40:00,153.1,153.1,152.95,152.95,3910860
2022-04-11 10:41:00,152.85,152.95,152.85,152.85,3929662
2022-04-11 10:42:00,152.9,152.95,152.8,152.95,3955222
2022-04-11 10:43:00,152.95,153.0,152.9,153.0,3962787
2022-04-11 10:44:00,152.95,152.95,152.9,152.95,3966253
2022-04-11 10:45:00,152.9,152.9,152.8,152.85,3976508
2022-04-11 10:46:00,152.85,152.95,152.8,152.9,3984490
2022-04-11 10:47:00,152.95,152.95,152.85,152.9,3990843
2022-04-11 10:48:00,152.9,152.95,152.85,152.85,3995191
2022-04-11 10:49:00,152.9,152.95,152.9,152.95,4002497
2022-04-11 10:50:00,152.9,152.95,152.85,152.95,4037064
2022-04-11 10:51:00,152.95,153.0,152.9,153.0,4052513
2022-04-11 10:52:00,153.0,153.05,152.95,153.0,4057763
2022-04-11 10:53:00,153.05,153.05,152.9,153.0,4067857
2022-04-11 10:54:00,152.9,153.0,152.85,152.9,4110083
2022-04-11 10:55:00,152.9,152.9,152.85,152.85,4115338
2022-04-11 10:56:00,152.9,152.9,152.7,152.75,4152743
2022-04-11 10:57:00,152.8,152.9,152.75,152.9,4168559
2022-04-11 10:58:00,152.85,152.95,152.85,152.9,4176018
2022-04-11 10:59:00,152.9,153.0,152.9,152.95,4196782
2022-04-11 11:00:00,152.9,152.95,152.9,152.95,4206328
2022-04-11 11:01:00,152.9,152.95,152.9,152.9,4218908
2022-04-11 11:02:00,152.9,153.1,152.9,153.1,4277217
2022-04-11 11:03:00,153.0,153.25,153.0,153.2,4358655
2022-04-11 11:04:00,153.2,153.35,153.2,153.35,4434537
2022-04-11 11:05:00,153.35,153.4,153.3,153.35,4460592
2022-04-11 11:06:00,153.35,153.35,153.25,153.25,4467599
2022-04-11 11:07:00,153.25,153.3,153.15,153.15,4488058
2022-04-11 11:08:00,153.1,153.25,153.1,153.25,4493402
2022-04-11 11:09:00,153.25,153.25,153.15,153.25,4503250
2022-04-11 11:10:00,153.25,153.25,153.2,153.25,4517501
2022-04-11 11:11:00,153.25,153.3,153.25,153.3,4530827
2022-04-11 11:12:00,153.25,153.3,153.2,153.2,4542135
2022-04-11 11:13:00,153.3,153.3,153.25,153.25,4554581
2022-04-11 11:14:00,153.2,153.4,153.2,153.35,4570336
2022-04-11 11:15:00,153.35,153.4,153.15,153.2,4612587
2022-04-11 11:16:00,153.2,153.2,153.05,153.2,4627715
2022-04-11 11:17:00,153.1,153.2,153.1,153.2,4631291
2022-04-11 11:18:00,153.2,153.2,153.1,153.2,4637195
2022-04-11 11:19:00,153.15,153.25,153.1,153.15,4648055
2022-04-11 11:20:00,153.15,153.15,153.1,153.15,4654444
2022-04-11 11:21:00,153.25,153.25,153.05,153.15,4661540
2022-04-11 11:22:00,153.25,153.25,153.1,153.15,4667477
2022-04-11 11:23:00,153.2,153.25,153.15,153.25,4677754
2022-04-11 11:24:00,153.25,153.25,153.1,153.2,4685081
2022-04-11 11:25:00,153.15,153.25,153.15,153.2,4693749
2022-04-11 11:26:00,153.25,153.25,153.15,153.25,4701216
2022-04-11 11:27:00,153.25,153.35,153.25,153.25,4722434
2022-04-11 11:28:00,153.3,153.3,153.15,153.2,4734973
2022-04-11 11:29:00,153.2,153.2,153.0,153.05,4755794
2022-04-11 11:30:00,153.1,153.1,153.0,153.05,4763435
2022-04-11 11:31:00,153.05,153.05,152.8,153.05,4835252
2022-04-11 11:32:00,153.05,153.2,153.0,153.15,4887098
2022-04-11 11:33:00,153.2,153.2,153.1,153.2,4891675
2022-04-11 11:34:00,153.15,153.2,153.1,153.15,4896752
2022-04-11 11:35:00,153.15,153.15,153.1,153.1,4901285
2022-04-11 11:36:00,153.15,153.2,153.1,153.15,4906998
